id,Year,Century,Decade
0,1985,19,1980s
1,1986,19,1980s
2,1987,19,1980s
3,1988,19,1980s
4,1989,19,1980s
5,1990,19,1990s
6,1991,19,1990s
7,1992,19,1990s
8,1993,19,1990s
9,1994,19,1990s
10,1995,19,1990s
11,1996,19,1990s
12,1997,19,1990s
13,1998,19,1990s
14,1999,19,1990s
15,2000,20,2000s
16,2001,20,2000s
17,2002,20,2000s
18,2003,20,2000s
19,2004,20,2000s
20,2005,20,2000s
21,2006,20,2000s
22,2007,20,2000s
23,2008,20,2000s
24,2009,20,2000s
25,2010,20,2010s
26,2011,20,2010s
27,2012,20,2010s
28,2013,20,2010s
29,2014,20,2010s
30,2015,20,2010s
31,2016,20,2010s
32,2017,20,2010s
33,2018,20,2010s
